 v-sweep         v(vgs)          id              gm              gds             vth             gm_id           gm_gds          id_w           
 6.45000000e-01  6.45000000e-01  1.16725720e-05  2.24946408e-04  1.85484405e-06  6.10968911e-01  1.92713660e+01  1.21275106e+02  1.16725720e+00 
 6.50000000e-01  6.50000000e-01  1.28436363e-05  2.43642419e-04  2.00636503e-06  6.10968919e-01  1.89698940e+01  1.21434742e+02  1.28436363e+00 
 6.55000000e-01  6.55000000e-01  1.41105489e-05  2.63282580e-04  2.16682006e-06  6.10968928e-01  1.86585640e+01  1.21506435e+02  1.41105489e+00 
 6.60000000e-01  6.60000000e-01  1.54779663e-05  2.83839932e-04  2.33639095e-06  6.10968938e-01  1.83383221e+01  1.21486488e+02  1.54779663e+00 
 6.65000000e-01  6.65000000e-01  1.69503908e-05  3.05279884e-04  2.51523672e-06  6.10968949e-01  1.80101974e+01  1.21372228e+02  1.69503908e+00 
 6.70000000e-01  6.70000000e-01  1.85321335e-05  3.27560651e-04  2.70349328e-06  6.10968960e-01  1.76752802e+01  1.21161999e+02  1.85321335e+00 
 6.75000000e-01  6.75000000e-01  2.02272798e-05  3.50633828e-04  2.90127349e-06  6.10968972e-01  1.73347000e+01  1.20855145e+02  2.02272798e+00 
 6.80000000e-01  6.80000000e-01  2.20396582e-05  3.74445100e-04  3.10866751e-06  6.10968984e-01  1.69896056e+01  1.20451962e+02  2.20396582e+00 
 6.85000000e-01  6.85000000e-01  2.39728120e-05  3.98935064e-04  3.32574360e-06  6.10968998e-01  1.66411460e+01  1.19953644e+02  2.39728120e+00 
 6.90000000e-01  6.90000000e-01  2.60299772e-05  4.24040113e-04  3.55254899e-06  6.10969013e-01  1.62904528e+01  1.19362214e+02  2.60299772e+00 
 6.95000000e-01  6.95000000e-01  2.82140627e-05  4.49693390e-04  3.78911119e-06  6.10969028e-01  1.59386259e+01  1.18680442e+02  2.82140627e+00 
 7.00000000e-01  7.00000000e-01  3.05276373e-05  4.75825751e-04  4.03543939e-06  6.10969044e-01  1.55867205e+01  1.17911758e+02  3.05276373e+00 
 7.05000000e-01  7.05000000e-01  3.29729203e-05  5.02366738e-04  4.29152602e-06  6.10969062e-01  1.52357369e+01  1.17060164e+02  3.29729203e+00 
 7.10000000e-01  7.10000000e-01  3.55517774e-05  5.29245515e-04  4.55734845e-06  6.10969080e-01  1.48866120e+01  1.16130140e+02  3.55517774e+00 
 7.15000000e-01  7.15000000e-01  3.82657210e-05  5.56391756e-04  4.83287073e-06  6.10969099e-01  1.45402136e+01  1.15126555e+02  3.82657210e+00 
 7.20000000e-01  7.20000000e-01  4.11159150e-05  5.83736475e-04  5.11804535e-06  6.10969119e-01  1.41973364e+01  1.14054573e+02  4.11159150e+00 
 7.25000000e-01  7.25000000e-01  4.41031831e-05  6.11212762e-04  5.41281504e-06  6.10969140e-01  1.38586995e+01  1.12919573e+02  4.41031831e+00 
 7.30000000e-01  7.30000000e-01  4.72280212e-05  6.38756432e-04  5.71711440e-06  6.10969162e-01  1.35249459e+01  1.11727068e+02  4.72280212e+00 
 7.35000000e-01  7.35000000e-01  5.04906122e-05  6.66306578e-04  6.03087162e-06  6.10969186e-01  1.31966429e+01  1.10482633e+02  5.04906122e+00 
 7.40000000e-01  7.40000000e-01  5.38908436e-05  6.93806022e-04  6.35400998e-06  6.10969210e-01  1.28742839e+01  1.09191837e+02  5.38908436e+00 
 7.45000000e-01  7.45000000e-01  5.74283272e-05  7.21201657e-04  6.68644931e-06  6.10969235e-01  1.25582912e+01  1.07860185e+02  5.74283272e+00 
 7.50000000e-01  7.50000000e-01  6.11024198e-05  7.48444701e-04  7.02810730e-06  6.10969261e-01  1.22490190e+01  1.06493067e+02  6.11024198e+00 
 7.55000000e-01  7.55000000e-01  6.49122456e-05  7.75490852e-04  7.37890068e-06  6.10969287e-01  1.19467574e+01  1.05095716e+02  6.49122456e+00 
 7.60000000e-01  7.60000000e-01  6.88567187e-05  8.02300362e-04  7.73874633e-06  6.10969315e-01  1.16517368e+01  1.03673170e+02  6.88567187e+00 
 7.65000000e-01  7.65000000e-01  7.29345658e-05  8.28838031e-04  8.10756214e-06  6.10969344e-01  1.13641320e+01  1.02230241e+02  7.29345658e+00 
 7.70000000e-01  7.70000000e-01  7.71443489e-05  8.55073133e-04  8.48526789e-06  6.10969374e-01  1.10840670e+01  1.00771495e+02  7.71443489e+00 
 7.75000000e-01  7.75000000e-01  8.14844872e-05  8.80979289e-04  8.87178588e-06  6.10969405e-01  1.08116197e+01  9.93012344e+01  8.14844872e+00 
 7.80000000e-01  7.80000000e-01  8.59532788e-05  9.06534289e-04  9.26704155e-06  6.10969436e-01  1.05468262e+01  9.78234838e+01  8.59532788e+00 
 7.85000000e-01  7.85000000e-01  9.05489203e-05  9.31719874e-04  9.67096390e-06  6.10969469e-01  1.02896851e+01  9.63419865e+01  9.05489203e+00 
 7.90000000e-01  7.90000000e-01  9.52695268e-05  9.56521495e-04  1.00834859e-05  6.10969502e-01  1.00401621e+01  9.48602003e+01  9.52695268e+00 
 7.95000000e-01  7.95000000e-01  1.00113149e-04  9.80928045e-04  1.05045449e-05  6.10969536e-01  9.79819388e+00  9.33812992e+01  1.00113149e+01 
 8.00000000e-01  8.00000000e-01  1.05077791e-04  1.00493158e-03  1.09340823e-05  6.10969571e-01  9.56369156e+00  9.19081777e+01  1.05077791e+01 
 8.05000000e-01  8.05000000e-01  1.10161423e-04  1.02852704e-03  1.13720446e-05  6.10969607e-01  9.33654462e+00  9.04434581e+01  1.10161423e+01 
 8.10000000e-01  8.10000000e-01  1.15361998e-04  1.05171196e-03  1.18183827e-05  6.10969644e-01  9.11662395e+00  8.89894990e+01  1.15361998e+01 
 8.15000000e-01  8.15000000e-01  1.20677462e-04  1.07448616e-03  1.22730521e-05  6.10969682e-01  8.90378488e+00  8.75484068e+01  1.20677462e+01 
 8.20000000e-01  8.20000000e-01  1.26105765e-04  1.09685154e-03  1.27360132e-05  6.10969720e-01  8.69786990e+00  8.61220475e+01  1.26105765e+01 
 8.25000000e-01  8.25000000e-01  1.31644871e-04  1.11881173e-03  1.32072309e-05  6.10969759e-01  8.49871115e+00  8.47120598e+01  1.31644871e+01 
